claim_id,claim,source_url,source_title,publisher,source_date,accessed_date,tier,impact,project_scope,note
GOAI-01,"The current Open Exploration semifinal rubric is 45% problem/environment, 35% exploration/research signals, 15% inspectability/sustainability, and 5% open-source contribution.","https://www.goaihz.com/en/news/Global%20Open-source%20AI%20Challenge%20Semi-Final%20Judging%20Officially%20Launches","Global Open-source AI Challenge Semi-Final Judging Officially Launches","GOAI Organizing Committee","2026-09-04","2026-09-05","O1-current-official","supports","semifinal rubric","Highest-current dated official notice."
GOAI-02,"Open Exploration semifinalists must submit a minimum runnable environment, at least one complete exploration log, a random/trivial or other minimum reference baseline, README, and reproduction instructions.","https://oss.goaihz.com/prod/20260814/7ccd16f5-39c0-4c9a-941f-dc52c3ffd13a.zip","AI for Research participant handbook and revision table","GOAI Organizing Committee","2026-08-14","2026-09-05","O2-official-handbook","supports","three-piece set","Direct handbook requirement."
GOAI-03,"From the semifinal onward, entrants must provide runnable code or equivalent verifiable material in an accessible repository, with entry point, dependencies, configuration, seeds, and reproduction instructions.","https://oss.goaihz.com/prod/20260814/7ccd16f5-39c0-4c9a-941f-dc52c3ffd13a.zip","AI for Research participant handbook and revision table","GOAI Organizing Committee","2026-08-14","2026-09-05","O2-official-handbook","supports","repository and reproducibility","Handbook says accessible repository; it does not specifically say public GitHub is the only acceptable host."
GOAI-04,"Data sources, authorization/licence status, open-source dependencies, commercial services, external data, licences, and key versions must be disclosed.","https://oss.goaihz.com/prod/20260814/7ccd16f5-39c0-4c9a-941f-dc52c3ffd13a.zip","AI for Research participant handbook and revision table","GOAI Organizing Committee","2026-08-14","2026-09-05","O2-official-handbook","supports","licensing and disclosure","Commercial APIs and closed models require additional cost, permission, alternative, and reproducibility disclosures."
GOAI-05,"The live track page summarizes the semifinal package as runnable environment/final code, technical documentation, and experiment/exploration results; AI for Research moves from 40 semifinalists to 20 finalists.","https://www.goaihz.com/tracks?track=ai4s","AI for Research track details","GOAI Organizing Committee","live page","2026-09-05","O1-current-official","supports","timeline and deliverables","Schedule is subject to the organizing committee's final notice."
GOAI-06,"The online defense is presentation plus Q&A and evidence clarification; new on-site features do not replace formal results submitted before the deadline.","https://www.goaihz.com/en/news/Global%20Open-source%20AI%20Challenge%20Semi-Final%20Judging%20Officially%20Launches","Global Open-source AI Challenge Semi-Final Judging Officially Launches","GOAI Organizing Committee","2026-09-04","2026-09-05","O1-current-official","supports","defense evidence freeze","No exact presentation/Q&A minutes were found publicly."
GOAI-07,"The older recruitment article reports 45/30/20/5 and a Top-50-to-Top-15 timeline.","https://www.goaihz.com/en/news/AI%20for%20Research","AI for Research Track Open for Registration","GOAI Organizing Committee","2026-08-10","2026-09-05","O3-superseded-official","challenges","source conflict","Superseded by the revised handbook, live track page, and 2026-09-04 notice."
SCI-01,"MELVIN automated discovery of new experimental implementations for complex quantum states and transformations.","https://journals.aps.org/prl/abstract/10.1103/PhysRevLett.116.090405","Automated Search for New Quantum Experiments","American Physical Society","2016-03-04","2026-09-05","S1-peer-reviewed-primary","challenges","novelty boundary","V2 fixes topology and cannot be positioned as comparable new-experiment discovery."
SCI-02,"Theseus uses an interpretable graph representation and fast inverse design/topological reduction for quantum-optical experiments.","https://journals.aps.org/prx/abstract/10.1103/PhysRevX.11.031044","Conceptual Understanding through Efficient Automated Design of Quantum Optical Experiments","American Physical Society","2021-08-26","2026-09-05","S1-peer-reviewed-primary","both","novelty and interpretability","Supports interpretable automation but challenges topology-discovery language for V2."
SCI-03,"PyTheus is an open-source framework spanning state, measurement, communication, gate, and continuous/discrete experiment discovery.","https://quantum-journal.org/papers/q-2023-12-12-1204/","Digital Discovery of 100 Diverse Quantum Experiments with PyTheus","Quantum","2023-12-12","2026-09-05","S1-peer-reviewed-primary","challenges","novelty boundary","PyTheus already covers heralded and post-selected gates, including CNOT examples."
SCI-04,"PyTheus warns that fidelity-only optimization can suppress edge weights and yield very low count rates, and provides a count-rate objective.","https://github.com/artificial-scientist-lab/PyTheus","PyTheus official repository","Artificial Scientist Lab","repository accessed 2026-09-05","2026-09-05","S2-official-source-repository","both","metric design","Supports V2's usable-success decomposition but makes the fidelity/rate tension prior art."
SCI-05,"Automated self-configuration and optimization of programmable photonic circuits under loss, parasitic errors, and crosstalk has simulation and experimental prior art.","https://www.nature.com/articles/s41467-020-19608-w","Multipurpose Self-Configuration of Programmable Photonic Circuits","Nature Communications","2020-12-11","2026-09-05","S1-peer-reviewed-primary","challenges","calibration novelty","Calibration itself is not V2's novel contribution."
SCI-06,"Numerical evidence gives a maximum success probability of 2/27 for perfect-fidelity linear-optical CNOT/controlled-sign gates with two unentangled ancilla resources.","https://journals.aps.org/pra/abstract/10.1103/PhysRevA.79.042326","Maximal Success Probabilities of Linear-Optical Quantum Gates","American Physical Society","2009-04-20","2026-09-05","S1-peer-reviewed-primary","both","ideal reference","Supports the ideal sanity check and challenges treating 2/27 as a project discovery."
TOOL-01,"Perceval's public catalog includes a Knill heralded CNOT built from a heralded CZ and Hadamards with two heralded modes.","https://perceval.quandela.net/docs/v1.2/reference/components/catalog.html","Perceval v1.2 Component Catalog","Quandela","v1.2 docs","2026-09-05","S2-official-software-docs","both","fixed topology","Supports implementation and proves the gate/topology predates V2."
TOOL-02,"Perceval Processors model heralds as output-state filters that affect performance and can apply source/component noise.","https://perceval.quandela.net/docs/v1.2/reference/runtime/processor.html","Perceval v1.2 Processor Reference","Quandela","v1.2 docs","2026-09-05","S2-official-software-docs","supports","herald accounting","Motivates separate herald, false-herald, leakage, and conditional metrics."
TOOL-03,"Perceval already provides CNOT process tomography, process/average fidelity, physicality checks, and gate-efficiency access.","https://perceval.quandela.net/docs/v1.2/notebooks/Tomography_walkthrough.html","Tomography of a CNOT Gate","Quandela","v1.2 docs","2026-09-05","S2-official-software-docs","both","validation boundary","V2 truth-table fidelity is not process fidelity; full-run tomography is a post-freeze diagnostic and reports efficiency separately."
TOOL-04,"Perceval NoiseModel supports brightness, indistinguishability, g2, transmittance, phase imprecision, and phase error; defaults are noiseless.","https://perceval.quandela.net/docs/v1.2/reference/utils/noise_model.html","Perceval v1.2 Noise Model","Quandela","v1.2 docs","2026-09-05","S2-official-software-docs","challenges","model boundary","V2 uses a disclosed subset/custom stress model and cannot claim comprehensive hardware realism."
TOOL-05,"Perceval LC is a non-unitary per-mode fixed-loss component represented through a virtual loss mode.","https://perceval.quandela.net/docs/v1.1/reference/components/non_unitary_components.html","Perceval Non-unitary Components","Quandela","v1.1 docs","2026-09-05","S2-official-software-docs","supports","loss implementation","Supports mode-specific simulated loss with an explicit abstraction boundary."
TOOL-06,"V2 freezes the official Perceval 1.2.4 release.","https://github.com/Quandela/Perceval/releases/tag/v1.2.4","Perceval v1.2.4 release","Quandela","2026-07-02","2026-09-05","S2-official-release","supports","dependency provenance","Exact package and transitive versions must also match the lockfile and run manifest."
PROJ-01,"QuantumOpt V2 declares a fixed-topology, eight-parameter heralded-CNOT calibration simulation pilot and disclaims new-gate, topology, and hardware claims.","https://github.com/Barca0412/QuantumOpt-Explorer/blob/main/README.md","QuantumOpt-Explorer README","Haoming Chen","2026-09-05 release candidate","2026-09-05","P1-project-primary","supports","claim boundary","Must be checked against the final public commit."
PROJ-02,"Per-evaluation usable success is unconditional, the policy-level primary metric is its held-out 25th percentile, and conditional truth-table fidelity, herald success, false-herald probability, and leakage are reported separately.","https://github.com/Barca0412/QuantumOpt-Explorer/blob/main/CLAIMS_AND_LIMITATIONS.md","QuantumOpt-Explorer claims and limitations","Haoming Chen","2026-09-05 release candidate","2026-09-05","P1-project-primary","supports","metric contract","Metric formulas must match protocol, code, saved rows, and report."
PROJ-03,"The ideal Perceval CNOT sanity test covers all four computational inputs and expects fidelity 1 and herald success 2/27.","https://github.com/Barca0412/QuantumOpt-Explorer/blob/main/tests/test_ideal_cnot.py","QuantumOpt V2 ideal CNOT test","Haoming Chen","2026-09-05 release candidate","2026-09-05","P1-project-primary","supports","software sanity check","A passing simulation test is not hardware evidence."
PROJ-04,"The release declares synthetic generated data, MIT code, CC0 tabular/JSON outputs, CC BY 4.0 reports/figures, and no commercial API, closed model, proprietary dataset, QPU, or paid service.","https://github.com/Barca0412/QuantumOpt-Explorer/blob/main/DATA_LICENSE.md","QuantumOpt V2 data and generated-output licences","Haoming Chen","2026-09-05 release candidate","2026-09-05","P1-project-primary","supports","licensing and disclosure","Cross-check THIRD_PARTY_NOTICES.md, pyproject.toml, uv.lock, and run manifest before release."
PROJ-05,"The repository defines smoke and full reproduction entry points and a golden-summary verification step.","https://github.com/Barca0412/QuantumOpt-Explorer/blob/main/reproduce.sh","QuantumOpt V2 reproduction entry point","Haoming Chen","2026-09-05 release candidate","2026-09-05","P1-project-primary","supports","reproducibility contract","Claim only successful reproduction after executing from a clean clone/locked environment."
PROJ-06,"V1 did not pass its predeclared discovery gate; BADS superiority was not established.","https://github.com/Barca0412/QuantumOpt-Explorer/blob/main/archive/v1/reproducibility/results/discovery_gate.json","QuantumOpt V1 discovery gate","Haoming Chen","2026-08-16 archived result","2026-09-05","P1-project-primary","challenges","prior result boundary","Preserved negative evidence; post-hoc sensitivity analysis cannot relabel it."
PROJ-07,"The frozen V2 protocol enables Perceval process tomography for all 32 frozen finalists on held-out draw 0 as a diagnostic that does not alter the predeclared A/B/C outcome gate.","https://github.com/Barca0412/QuantumOpt-Explorer/blob/main/V2_PROTOCOL.md","QuantumOpt V2 frozen pilot protocol","Haoming Chen","2026-09-05 release candidate","2026-09-05","P1-project-primary","supports","post-freeze tomography contract","The full run completed all 32 rows; the independent semantic verifier passed this contract."
PROJ-08,"The frozen full run is Outcome C: BADS passed all preregistered checks versus catalog but failed the win-count and 10% mean-relative-improvement checks versus equal-budget random search.","https://github.com/Barca0412/QuantumOpt-Explorer/blob/main/runs/v2/discovery_gate.json","QuantumOpt V2 discovery gate","Haoming Chen","2026-09-05 release candidate","2026-09-05","P1-project-primary","both","frozen result","Supports an auditable negative research signal and challenges any claim of BADS superiority. BADS versus catalog was 8 wins and +12.9069%; versus random it was 4 wins, 4 ties, and +0.95645%."
